Results Table 1;;;;;
;;;;;
;;;;;
;Aço 1016;;;;
;Time;Displacement;Force;Tensile strain (Strain 2);Tensile stress
;(s);(mm);(kN);(mm/mm);(MPa)
;1.3340;0.07527;0.34008;0.00005;14.31423
;1.3420;0.07575;0.34328;0.00005;14.44873
;1.3500;0.07629;0.34655;0.00005;14.58636
;1.3560;0.07665;0.34910;0.00005;14.69378
;1.3620;0.07701;0.35170;0.00006;14.80329
;1.3680;0.07737;0.35443;0.00006;14.91806
;1.3740;0.07779;0.35717;0.00006;15.03369
;1.3800;0.07814;0.35994;0.00006;15.15024
;1.3860;0.07856;0.36282;0.00006;15.27112
;1.3920;0.07892;0.36572;0.00006;15.39350
;1.3980;0.07928;0.36882;0.00006;15.52381
;1.4040;0.07964;0.37201;0.00006;15.65801
;1.4100;0.08000;0.37528;0.00006;15.79591
;1.4160;0.08042;0.37875;0.00006;15.94200
;1.4220;0.08072;0.38218;0.00006;16.08624
;1.4280;0.08107;0.38541;0.00006;16.22224
;1.4340;0.08143;0.38854;0.00006;16.35385
;1.4400;0.08179;0.39171;0.00006;16.48711
;1.4460;0.08215;0.39493;0.00006;16.62292
;1.4520;0.08251;0.39806;0.00006;16.75472
;1.4580;0.08281;0.40118;0.00006;16.88590
;1.4640;0.08317;0.40429;0.00006;17.01684
;1.4700;0.08353;0.40741;0.00006;17.14792
;1.4760;0.08388;0.41031;0.00006;17.27016
;1.4820;0.08424;0.41317;0.00006;17.39040
;1.4880;0.08460;0.41632;0.00006;17.52303
;1.4940;0.08502;0.41958;0.00007;17.66030
;1.5000;0.08532;0.42274;0.00007;17.79351
;1.5060;0.08568;0.42604;0.00007;17.93216
;1.5120;0.08604;0.42940;0.00007;18.07350
;1.5180;0.08640;0.43270;0.00006;18.21250
;1.5240;0.08675;0.43595;0.00007;18.34931
;1.5300;0.08717;0.43920;0.00007;18.48611
;1.5360;0.08753;0.44226;0.00007;18.61493
;1.5420;0.08789;0.44534;0.00007;18.74454
;1.5480;0.08825;0.44853;0.00007;18.87878
;1.5540;0.08861;0.45192;0.00007;19.02146
;1.5600;0.08897;0.45539;0.00007;19.16754
;1.5660;0.08933;0.45871;0.00007;19.30717
;1.5720;0.08968;0.46211;0.00007;19.45041
;1.5780;0.09010;0.46549;0.00007;19.59295
;1.5840;0.09046;0.46887;0.00007;19.73484
;1.5900;0.09076;0.47194;0.00007;19.86440
;1.5960;0.09112;0.47503;0.00007;19.99411
;1.6020;0.09148;0.47823;0.00007;20.12914
;1.6080;0.09184;0.48138;0.00007;20.26170
;1.6140;0.09220;0.48442;0.00007;20.38966
;1.6200;0.09249;0.48739;0.00007;20.51436
;1.6260;0.09285;0.49045;0.00007;20.64329
;1.6320;0.09321;0.49365;0.00007;20.77798
;1.6380;0.09363;0.49708;0.00007;20.92241
;1.6440;0.09393;0.50052;0.00008;21.06708
;1.6500;0.09429;0.50393;0.00008;21.21052
;1.6560;0.09471;0.50721;0.00008;21.34855
;1.6620;0.09507;0.51052;0.00008;21.48815
;1.6680;0.09536;0.51397;0.00008;21.63338
;1.6740;0.09578;0.51749;0.00008;21.78156
;1.6800;0.09614;0.52104;0.00008;21.93088
;1.6860;0.09650;0.52455;0.00008;22.07862
;1.6920;0.09680;0.52806;0.00008;22.22648
;1.6980;0.09722;0.53145;0.00008;22.36889
;1.7040;0.09758;0.53477;0.00008;22.50875
;1.7100;0.09794;0.53795;0.00008;22.64282
;1.7160;0.09829;0.54119;0.00008;22.77913
;1.7220;0.09871;0.54458;0.00008;22.92167
;1.7280;0.09907;0.54812;0.00008;23.07088
;1.7340;0.09943;0.55175;0.00008;23.22333
;1.7400;0.09985;0.55548;0.00008;23.38044
;1.7460;0.10021;0.55924;0.00008;23.53866
;1.7500;0.10045;0.56183;0.00009;23.64767
;1.7560;0.10075;0.56548;0.00009;23.80151
;1.7620;0.10110;0.56909;0.00009;23.95330
;1.7660;0.10134;0.57160;0.00009;24.05903
;1.7700;0.10164;0.57414;0.00009;24.16599
;1.7760;0.10194;0.57789;0.00009;24.32359
;1.7820;0.10230;0.58159;0.00009;24.47929
;1.7880;0.10266;0.58535;0.00009;24.63766
;1.7920;0.10290;0.58789;0.00009;24.74446
;1.7980;0.10326;0.59144;0.00009;24.89407
;1.8040;0.10362;0.59506;0.00009;25.04649
;1.8080;0.10385;0.59760;0.00009;25.15341
;1.8120;0.10409;0.60018;0.00009;25.26193
;1.8160;0.10433;0.60276;0.00009;25.37065
;1.8200;0.10457;0.60534;0.00009;25.47906
;1.8240;0.10481;0.60790;0.00009;25.58682
;1.8300;0.10511;0.61159;0.00009;25.74197
;1.8360;0.10547;0.61512;0.00009;25.89081
;1.8420;0.10583;0.61864;0.00009;26.03902
;1.8480;0.10625;0.62210;0.00009;26.18454
;1.8540;0.10660;0.62558;0.00009;26.33088
;1.8600;0.10696;0.62931;0.00009;26.48783
;1.8640;0.10720;0.63198;0.00009;26.60026
;1.8680;0.10744;0.63467;0.00009;26.71365
;1.8720;0.10768;0.63733;0.00009;26.82575
;1.8760;0.10792;0.64001;0.00009;26.93840
;1.8800;0.10816;0.64260;0.00010;27.04729
;1.8860;0.10852;0.64632;0.00010;27.20391
;1.8900;0.10876;0.64887;0.00010;27.31117
;1.8940;0.10900;0.65153;0.00010;27.42322
;1.8980;0.10930;0.65418;0.00010;27.53462
;1.9020;0.10953;0.65679;0.00010;27.64447
;1.9060;0.10977;0.65936;0.00010;27.75286
;1.9100;0.11001;0.66193;0.00010;27.86102
;1.9140;0.11025;0.66455;0.00010;27.97133
;1.9180;0.11049;0.66723;0.00010;28.08420
;1.9220;0.11073;0.66991;0.00010;28.19698
;1.9260;0.11097;0.67253;0.00010;28.30724
;1.9300;0.11115;0.67511;0.00010;28.41564
;1.9340;0.11139;0.67762;0.00010;28.52140
;1.9380;0.11163;0.68014;0.00010;28.62755
;1.9420;0.11187;0.68265;0.00010;28.73308
;1.9480;0.11222;0.68639;0.00010;28.89045
;1.9520;0.11246;0.68889;0.00010;28.99595
;1.9580;0.11276;0.69257;0.00010;29.15086
;1.9620;0.11300;0.69510;0.00010;29.25721
;1.9660;0.11324;0.69767;0.00010;29.36520
;1.9700;0.11348;0.70023;0.00010;29.47310
;1.9740;0.11372;0.70278;0.00010;29.58042
;1.9780;0.11396;0.70530;0.00010;29.68661
;1.9820;0.11420;0.70786;0.00010;29.79429
;1.9860;0.11444;0.71048;0.00010;29.90470
;1.9900;0.11468;0.71317;0.00010;30.01777
;1.9940;0.11492;0.71581;0.00010;30.12894
;1.9980;0.11515;0.71844;0.00010;30.23956
;2.0020;0.11539;0.72107;0.00010;30.35038
;2.0060;0.11557;0.72370;0.00010;30.46108
;2.0100;0.11581;0.72629;0.00010;30.56992
;2.0140;0.11605;0.72884;0.00010;30.67724
;2.0180;0.11635;0.73136;0.00010;30.78343
;2.0240;0.11671;0.73512;0.00010;30.94161
;2.0280;0.11695;0.73773;0.00010;31.05137
;2.0320;0.11719;0.74037;0.00010;31.16268
;2.0360;0.11737;0.74300;0.00010;31.27309
;2.0400;0.11761;0.74551;0.00011;31.37905
;2.0460;0.11802;0.74919;0.00011;31.53387
;2.0520;0.11838;0.75287;0.00010;31.68852
;2.0580;0.11874;0.75659;0.00010;31.84530
;2.0640;0.11916;0.76028;0.00010;32.00042
;2.0680;0.11940;0.76289;0.00010;32.11047
;2.0720;0.11970;0.76562;0.00011;32.22548
;2.0760;0.11994;0.76841;0.00011;32.34277
;2.0800;0.12018;0.77118;0.00011;32.45937
;2.0840;0.12042;0.77392;0.00011;32.57490
;2.0880;0.12066;0.77669;0.00011;32.69113
;2.0920;0.12089;0.77942;0.00011;32.80627
;2.0960;0.12113;0.78215;0.00011;32.92123
;2.1000;0.12137;0.78489;0.00011;33.03647
;2.1040;0.12161;0.78767;0.00011;33.15336
;2.1080;0.12185;0.79042;0.00011;33.26917
;2.1120;0.12209;0.79308;0.00011;33.38104
;2.1160;0.12233;0.79566;0.00011;33.48960
;2.1200;0.12257;0.79822;0.00011;33.59757
;2.1240;0.12281;0.80081;0.00011;33.70662
;2.1280;0.12305;0.80333;0.00011;33.81275
;2.1340;0.12335;0.80698;0.00012;33.96618
;2.1400;0.12370;0.81055;0.00012;34.11646
;2.1460;0.12406;0.81422;0.00012;34.27092
;2.1520;0.12442;0.81798;0.00012;34.42912
;2.1560;0.12466;0.82060;0.00012;34.53970
;2.1600;0.12490;0.82327;0.00012;34.65207
;2.1640;0.12514;0.82605;0.00012;34.76897
;2.1680;0.12538;0.82875;0.00012;34.88246
;2.1720;0.12562;0.83143;0.00012;34.99553
;2.1760;0.12586;0.83415;0.00012;35.10987
;2.1800;0.12610;0.83681;0.00012;35.22198
;2.1840;0.12634;0.83939;0.00012;35.33055
;2.1880;0.12657;0.84199;0.00012;35.43987
;2.1920;0.12681;0.84463;0.00012;35.55096
;2.1960;0.12705;0.84726;0.00012;35.66179
;2.2000;0.12729;0.84989;0.00012;35.77251
;2.2040;0.12753;0.85260;0.00012;35.88649
;2.2080;0.12777;0.85529;0.00012;35.99978
;2.2120;0.12807;0.85789;0.00012;36.10914
;2.2160;0.12831;0.86045;0.00012;36.21667
;2.2200;0.12855;0.86302;0.00012;36.32485
;2.2240;0.12879;0.86567;0.00012;36.43639
;2.2280;0.12903;0.86838;0.00012;36.55057
;2.2320;0.12926;0.87107;0.00012;36.66368
;2.2360;0.12950;0.87372;0.00012;36.77532
;2.2400;0.12974;0.87640;0.00012;36.88807
;2.2440;0.13004;0.87914;0.00012;37.00350
;2.2480;0.13028;0.88190;0.00012;37.11962
;2.2520;0.13052;0.88469;0.00012;37.23717
;2.2560;0.13076;0.88747;0.00012;37.35418
;2.2600;0.13100;0.89026;0.00012;37.47145
;2.2640;0.13130;0.89300;0.00012;37.58669
;2.2680;0.13154;0.89583;0.00013;37.70579
;2.2720;0.13172;0.89879;0.00013;37.83040
;2.2760;0.13196;0.90177;0.00013;37.95590
;2.2800;0.13219;0.90474;0.00013;38.08112
;2.2840;0.13243;0.90760;0.00013;38.20135
;2.2880;0.13267;0.91034;0.00013;38.31677
;2.2920;0.13291;0.91298;0.00013;38.42767
;2.2980;0.13327;0.91668;0.00013;38.58369
;2.3040;0.13357;0.92042;0.00013;38.74089
;2.3100;0.13393;0.92405;0.00013;38.89370
;2.3160;0.13429;0.92754;0.00013;39.04059
;2.3220;0.13465;0.93098;0.00013;39.18541
;2.3280;0.13494;0.93439;0.00013;39.32904
;2.3340;0.13530;0.93779;0.00013;39.47205
;2.3400;0.13566;0.94113;0.00013;39.61275
;2.3460;0.13602;0.94470;0.00013;39.76316
;2.3520;0.13638;0.94846;0.00013;39.92108
;2.3560;0.13662;0.95104;0.00013;40.02966
;2.3600;0.13686;0.95363;0.00013;40.13885
;2.3640;0.13710;0.95625;0.00013;40.24899
;2.3680;0.13734;0.95892;0.00013;40.36131
;2.3720;0.13758;0.96160;0.00013;40.47446
;2.3760;0.13781;0.96428;0.00013;40.58701
;2.3800;0.13805;0.96686;0.00013;40.69548
;2.3840;0.13829;0.96938;0.00013;40.80186
;2.3880;0.13853;0.97193;0.00013;40.90901
;2.3920;0.13877;0.97449;0.00013;41.01664
;2.3960;0.13901;0.97709;0.00013;41.12637
;2.4000;0.13931;0.97972;0.00013;41.23687
;2.4040;0.13955;0.98230;0.00013;41.34556
;2.4080;0.13979;0.98492;0.00013;41.45597
;2.4120;0.14003;0.98763;0.00013;41.56998
;2.4160;0.14033;0.99042;0.00013;41.68732
;2.4200;0.14057;0.99320;0.00014;41.80440
;2.4240;0.14080;0.99595;0.00014;41.92020
;2.4280;0.14110;0.99869;0.00014;42.03527
;2.4320;0.14134;1.00148;0.00014;42.15276
;2.4360;0.14158;1.00432;0.00014;42.27228
;2.4400;0.14182;1.00710;0.00014;42.38940
;2.4440;0.14206;1.00980;0.00014;42.50291
;2.4480;0.14230;1.01233;0.00014;42.60953
;2.4540;0.14266;1.01594;0.00014;42.76152
;2.4600;0.14302;1.01931;0.00014;42.90342
;2.4660;0.14338;1.02245;0.00014;43.03560
;2.4720;0.14373;1.02536;0.00014;43.15812
;2.4780;0.14403;1.02812;0.00014;43.27435
;2.4840;0.14439;1.03064;0.00014;43.38037
;2.4920;0.14487;1.03398;0.00014;43.52089
;2.4980;0.14523;1.03674;0.00014;43.63691
;2.5040;0.14559;1.03971;0.00014;43.76194
;2.5100;0.14595;1.04285;0.00014;43.89394
;2.5160;0.14630;1.04612;0.00014;44.03165
;2.5220;0.14666;1.04946;0.00014;44.17244
;2.5280;0.14702;1.05297;0.00014;44.32031
;2.5340;0.14738;1.05652;0.00014;44.46936
;2.5400;0.14768;1.06008;0.00014;44.61917
;2.5460;0.14804;1.06362;0.00015;44.76854
;2.5520;0.14840;1.06736;0.00015;44.92597
;2.5580;0.14882;1.07106;0.00015;45.08145
;2.5640;0.14917;1.07476;0.00015;45.23707
;2.5680;0.14941;1.07737;0.00015;45.34708
;2.5720;0.14965;1.08007;0.00015;45.46096
;2.5760;0.14995;1.08286;0.00015;45.57806
;2.5800;0.15019;1.08565;0.00015;45.69541
;2.5840;0.15043;1.08845;0.00015;45.81331
;2.5880;0.15073;1.09131;0.00015;45.93396
;2.5920;0.15097;1.09414;0.00015;46.05311
;2.5960;0.15121;1.09700;0.00015;46.17333
;2.6000;0.15145;1.09992;0.00015;46.29645
;2.6040;0.15169;1.10288;0.00015;46.42088
;2.6080;0.15193;1.10581;0.00015;46.54401
;2.6120;0.15216;1.10871;0.00015;46.66608
;2.6160;0.15246;1.11161;0.00015;46.78819
;2.6200;0.15270;1.11449;0.00015;46.90955
;2.6240;0.15294;1.11727;0.00015;47.02658
;2.6280;0.15318;1.11993;0.00015;47.13834
;2.6320;0.15336;1.12257;0.00015;47.24955
;2.6360;0.15360;1.12532;0.00015;47.36525
;2.6400;0.15384;1.12810;0.00015;47.48224
;2.6440;0.15408;1.13087;0.00016;47.59901
;2.6480;0.15432;1.13356;0.00016;47.71229
;2.6520;0.15456;1.13622;0.00016;47.82428
;2.6560;0.15479;1.13885;0.00016;47.93489
;2.6600;0.15503;1.14150;0.00016;48.04646
;2.6640;0.15527;1.14412;0.00016;48.15653
;2.6680;0.15551;1.14674;0.00016;48.26677
;2.6720;0.15569;1.14935;0.00016;48.37669
;2.6760;0.15593;1.15196;0.00016;48.48656
;2.6800;0.15617;1.15453;0.00016;48.59480
;2.6840;0.15641;1.15705;0.00016;48.70093
;2.6880;0.15665;1.15955;0.00016;48.80624
;2.6920;0.15683;1.16206;0.00016;48.91190
;2.6960;0.15707;1.16462;0.00016;49.01959
;2.7000;0.15731;1.16718;0.00016;49.12743
;2.7040;0.15755;1.16975;0.00016;49.23560
;2.7080;0.15778;1.17244;0.00016;49.34863
;2.7120;0.15802;1.17521;0.00016;49.46529
;2.7160;0.15826;1.17795;0.00016;49.58062
;2.7200;0.15850;1.18060;0.00016;49.69220
;2.7240;0.15874;1.18331;0.00017;49.80630
;2.7280;0.15898;1.18606;0.00017;49.92206
;2.7320;0.15922;1.18869;0.00017;50.03269
;2.7360;0.15946;1.19129;0.00017;50.14220
;2.7400;0.15970;1.19393;0.00017;50.25303
;2.7440;0.15994;1.19660;0.00017;50.36560
;2.7480;0.16024;1.19934;0.00017;50.48096
;2.7520;0.16048;1.20214;0.00017;50.59884
;2.7560;0.16071;1.20500;0.00017;50.71904
;2.7600;0.16095;1.20791;0.00017;50.84154
;2.7640;0.16119;1.21085;0.00017;50.96537
;2.7680;0.16149;1.21376;0.00017;51.08796
;2.7720;0.16173;1.21663;0.00017;51.20845
;2.7760;0.16197;1.21950;0.00017;51.32944
;2.7800;0.16221;1.22243;0.00017;51.45279
;2.7840;0.16245;1.22542;0.00017;51.57850
;2.7880;0.16269;1.22849;0.00017;51.70801
;2.7920;0.16293;1.23150;0.00017;51.83460
;2.7960;0.16317;1.23446;0.00017;51.95907
;2.8000;0.16340;1.23731;0.00017;52.07927
;2.8040;0.16364;1.24012;0.00017;52.19718
;2.8080;0.16388;1.24287;0.00017;52.31292
;2.8120;0.16412;1.24559;0.00017;52.42765
;2.8160;0.16430;1.24831;0.00017;52.54205
;2.8200;0.16454;1.25105;0.00017;52.65754
;2.8240;0.16478;1.25376;0.00017;52.77134
;2.8280;0.16502;1.25645;0.00018;52.88484
;2.8320;0.16526;1.25908;0.00018;52.99554
;2.8360;0.16550;1.26166;0.00018;53.10398
;2.8400;0.16574;1.26419;0.00018;53.21059
;2.8440;0.16598;1.26675;0.00018;53.31807
;2.8480;0.16621;1.26935;0.00018;53.42768
;2.8520;0.16645;1.27199;0.00018;53.53885
;2.8560;0.16669;1.27459;0.00018;53.64811
;2.8600;0.16693;1.27716;0.00018;53.75644
;2.8640;0.16717;1.27978;0.00018;53.86665
;2.8680;0.16735;1.28241;0.00018;53.97727
;2.8720;0.16759;1.28504;0.00019;54.08785
;2.8760;0.16783;1.28765;0.00019;54.19772
;2.8800;0.16807;1.29016;0.00019;54.30347
;2.8860;0.16843;1.29387;0.00019;54.45992
;2.8920;0.16879;1.29753;0.00019;54.61390
;2.8960;0.16908;1.30006;0.00019;54.72016
;2.9000;0.16932;1.30270;0.00019;54.83150
;2.9040;0.16956;1.30546;0.00018;54.94737
;2.9080;0.16980;1.30820;0.00018;55.06292
;2.9120;0.17004;1.31099;0.00018;55.18051
;2.9160;0.17028;1.31379;0.00019;55.29807
;2.9200;0.17052;1.31652;0.00019;55.41293
;2.9240;0.17076;1.31926;0.00019;55.52837
;2.9280;0.17100;1.32198;0.00019;55.64307
;2.9320;0.17130;1.32472;0.00019;55.75819
;2.9360;0.17154;1.32753;0.00019;55.87643
;2.9400;0.17178;1.33042;0.00019;55.99810
;2.9440;0.17201;1.33331;0.00019;56.11982
;2.9480;0.17231;1.33623;0.00019;56.24280
;2.9520;0.17255;1.33916;0.00019;56.36616
;2.9560;0.17279;1.34200;0.00019;56.48539
;2.9600;0.17303;1.34479;0.00019;56.60280
;2.9640;0.17327;1.34762;0.00019;56.72192
;2.9680;0.17351;1.35059;0.00019;56.84723
;2.9720;0.17375;1.35359;0.00019;56.97349
;2.9760;0.17399;1.35653;0.00019;57.09712
;2.9800;0.17423;1.35951;0.00019;57.22245
;2.9840;0.17447;1.36247;0.00019;57.34733
;2.9880;0.17470;1.36548;0.00019;57.47379
;2.9920;0.17494;1.36851;0.00019;57.60144
;2.9960;0.17518;1.37150;0.00019;57.72704
;3.0000;0.17542;1.37441;0.00019;57.84967
;3.0040;0.17566;1.37726;0.00020;57.96954
;3.0080;0.17590;1.38016;0.00020;58.09163
;3.0120;0.17608;1.38304;0.00020;58.21312
;3.0160;0.17632;1.38586;0.00020;58.33157
;3.0200;0.17656;1.38859;0.00020;58.44642
;3.0240;0.17680;1.39122;0.00020;58.55719
;3.0280;0.17704;1.39377;0.00020;58.66475
;3.0340;0.17740;1.39748;0.00020;58.82076
;3.0400;0.17775;1.40120;0.00020;58.97722
;3.0440;0.17799;1.40374;0.00020;59.08435
;3.0480;0.17823;1.40636;0.00020;59.19467
;3.0520;0.17847;1.40906;0.00020;59.30814
