Results Table 1;;;;;
;;;;;
;;;;;
;Aço 1016;;;;
;Time;Displacement;Force;Tensile strain (Strain 2);Tensile stress
;(s);(mm);(kN);(mm/mm);(MPa)
;8.8520;0.52651;4.20658;0.00079;177.05748
;8.8600;0.52698;4.20971;0.00079;177.18900
;8.8660;0.52740;4.21225;0.00079;177.29614
;8.8720;0.52776;4.21497;0.00079;177.41048
;8.8780;0.52812;4.21759;0.00079;177.52055
;8.8840;0.52848;4.22015;0.00079;177.62868
;8.8920;0.52896;4.22342;0.00079;177.76617
;8.9000;0.52938;4.22644;0.00079;177.89336
;8.9080;0.52985;4.22945;0.00079;178.01993
;8.9160;0.53033;4.23239;0.00079;178.14372
;8.9240;0.53081;4.23539;0.00079;178.26982
;8.9320;0.53129;4.23824;0.00079;178.38997
;8.9400;0.53177;4.24111;0.00080;178.51057
;8.9480;0.53225;4.24409;0.00080;178.63597
;8.9560;0.53272;4.24698;0.00080;178.75781
;8.9640;0.53320;4.24994;0.00080;178.88235
;8.9720;0.53362;4.25275;0.00080;179.00070
;8.9800;0.53416;4.25542;0.00080;179.11316
;8.9880;0.53464;4.25828;0.00080;179.23322
;8.9960;0.53512;4.26134;0.00080;179.36223
;9.0040;0.53559;4.26461;0.00080;179.49982
;9.0100;0.53595;4.26724;0.00080;179.61073
;9.0160;0.53637;4.26999;0.00080;179.72618
;9.0220;0.53673;4.27266;0.00080;179.83847
;9.0280;0.53709;4.27536;0.00081;179.95250
;9.0340;0.53745;4.27803;0.00081;180.06471
;9.0400;0.53781;4.28061;0.00081;180.17311
;9.0460;0.53822;4.28325;0.00081;180.28461
;9.0520;0.53858;4.28583;0.00081;180.39305
;9.0580;0.53894;4.28837;0.00081;180.49976
;9.0660;0.53936;4.29153;0.00081;180.63292
;9.0740;0.53984;4.29466;0.00081;180.76485
;9.0820;0.54032;4.29785;0.00081;180.89894
;9.0900;0.54080;4.30096;0.00081;181.02997
;9.0980;0.54127;4.30397;0.00081;181.15646
;9.1060;0.54169;4.30714;0.00081;181.28992
;9.1140;0.54217;4.31039;0.00081;181.42664
;9.1220;0.54265;4.31339;0.00081;181.55316
;9.1300;0.54307;4.31625;0.00081;181.67358
;9.1380;0.54355;4.31898;0.00081;181.78825
;9.1460;0.54402;4.32191;0.00082;181.91183
;9.1540;0.54456;4.32525;0.00082;182.05240
;9.1600;0.54492;4.32784;0.00082;182.16106
;9.1660;0.54522;4.33061;0.00082;182.27780
;9.1720;0.54558;4.33341;0.00082;182.39583
;9.1780;0.54594;4.33615;0.00082;182.51122
;9.1840;0.54636;4.33873;0.00082;182.61960
;9.1900;0.54672;4.34128;0.00082;182.72701
;9.1980;0.54719;4.34443;0.00082;182.85965
;9.2060;0.54767;4.34760;0.00082;182.99312
;9.2120;0.54803;4.35015;0.00082;183.10037
;9.2180;0.54845;4.35271;0.00082;183.20808
;9.2240;0.54881;4.35528;0.00082;183.31616
;9.2300;0.54917;4.35789;0.00082;183.42587
;9.2360;0.54947;4.36051;0.00082;183.53630
;9.2420;0.54988;4.36314;0.00082;183.64691
;9.2480;0.55018;4.36573;0.00082;183.75610
;9.2540;0.55054;4.36830;0.00082;183.86441
;9.2620;0.55102;4.37149;0.00082;183.99863
;9.2700;0.55150;4.37450;0.00082;184.12500
;9.2780;0.55198;4.37730;0.00083;184.24321
;9.2860;0.55245;4.38017;0.00083;184.36391
;9.2940;0.55293;4.38312;0.00083;184.48788
;9.3020;0.55335;4.38588;0.00083;184.60435
;9.3100;0.55383;4.38885;0.00083;184.72906
;9.3180;0.55431;4.39182;0.00083;184.85403
;9.3260;0.55479;4.39494;0.00083;184.98549
;9.3340;0.55532;4.39790;0.00083;185.10989
;9.3420;0.55574;4.40096;0.00083;185.23872
;9.3500;0.55622;4.40422;0.00083;185.37628
;9.3580;0.55676;4.40736;0.00083;185.50827
;9.3660;0.55724;4.41071;0.00083;185.64946
;9.3720;0.55766;4.41348;0.00083;185.76569
;9.3780;0.55802;4.41631;0.00083;185.88501
;9.3840;0.55837;4.41907;0.00083;186.00101
;9.3900;0.55879;4.42193;0.00083;186.12134
;9.3960;0.55915;4.42489;0.00083;186.24617
;9.4020;0.55951;4.42789;0.00084;186.37247
;9.4080;0.55993;4.43073;0.00084;186.49210
;9.4140;0.56023;4.43343;0.00084;186.60550
;9.4200;0.56059;4.43605;0.00084;186.71591
;9.4280;0.56106;4.43929;0.00084;186.85202
;9.4360;0.56154;4.44221;0.00084;186.97496
;9.4440;0.56196;4.44500;0.00084;187.09253
;9.4520;0.56244;4.44770;0.00084;187.20601
;9.4600;0.56292;4.45046;0.00084;187.32240
;9.4680;0.56340;4.45315;0.00084;187.43581
;9.4760;0.56381;4.45609;0.00084;187.55930
;9.4840;0.56429;4.45922;0.00084;187.69115
;9.4920;0.56477;4.46238;0.00085;187.82420
;9.5000;0.56525;4.46550;0.00085;187.95549
;9.5080;0.56573;4.46866;0.00085;188.08856
;9.5140;0.56615;4.47128;0.00085;188.19865
;9.5200;0.56645;4.47392;0.00085;188.30962
;9.5260;0.56686;4.47652;0.00085;188.41930
;9.5320;0.56722;4.47924;0.00085;188.53355
;9.5380;0.56758;4.48210;0.00085;188.65396
;9.5440;0.56794;4.48508;0.00085;188.77945
;9.5500;0.56836;4.48815;0.00085;188.90865
;9.5560;0.56872;4.49120;0.00085;189.03714
;9.5620;0.56908;4.49428;0.00085;189.16678
;9.5680;0.56949;4.49748;0.00085;189.30167
;9.5740;0.56985;4.50066;0.00085;189.43546
;9.5800;0.57021;4.50368;0.00086;189.56259
;9.5860;0.57051;4.50646;0.00086;189.67931
;9.5920;0.57087;4.50905;0.00086;189.78864
;9.6000;0.57135;4.51239;0.00086;189.92908
;9.6060;0.57171;4.51501;0.00086;190.03944
;9.6120;0.57207;4.51758;0.00086;190.14746
;9.6200;0.57254;4.52077;0.00086;190.28189
;9.6280;0.57302;4.52352;0.00086;190.39737
;9.6360;0.57350;4.52632;0.00086;190.51547
;9.6440;0.57392;4.52909;0.00086;190.63196
;9.6520;0.57440;4.53180;0.00086;190.74619
;9.6600;0.57488;4.53461;0.00086;190.86446
;9.6680;0.57535;4.53777;0.00087;190.99744
;9.6760;0.57583;4.54106;0.00087;191.13568
;9.6840;0.57631;4.54417;0.00087;191.26677
;9.6920;0.57679;4.54726;0.00087;191.39680
;9.7000;0.57727;4.55030;0.00087;191.52463
;9.7080;0.57781;4.55347;0.00087;191.65793
;9.7140;0.57816;4.55598;0.00087;191.76367
;9.7200;0.57852;4.55863;0.00087;191.87521
;9.7260;0.57888;4.56127;0.00087;191.98660
;9.7320;0.57930;4.56392;0.00087;192.09813
;9.7380;0.57966;4.56672;0.00087;192.21567
;9.7440;0.58008;4.56959;0.00087;192.33670
;9.7500;0.58044;4.57253;0.00087;192.46039
;9.7560;0.58080;4.57559;0.00087;192.58925
;9.7620;0.58109;4.57845;0.00087;192.70972
;9.7680;0.58145;4.58099;0.00087;192.81630
;9.7760;0.58193;4.58430;0.00087;192.95561
;9.7840;0.58247;4.58736;0.00087;193.08466
;9.7920;0.58289;4.59038;0.00087;193.21176
;9.8000;0.58337;4.59366;0.00088;193.34988
;9.8080;0.58384;4.59678;0.00088;193.48126
;9.8160;0.58432;4.59960;0.00088;193.59981
;9.8240;0.58480;4.60265;0.00088;193.72832
;9.8320;0.58528;4.60560;0.00088;193.85234
;9.8400;0.58570;4.60816;0.00088;193.95996
;9.8480;0.58618;4.61076;0.00088;194.06931
;9.8560;0.58671;4.61335;0.00088;194.17851
;9.8640;0.58719;4.61634;0.00088;194.30450
;9.8700;0.58755;4.61887;0.00088;194.41103
;9.8760;0.58791;4.62150;0.00088;194.52153
;9.8840;0.58839;4.62481;0.00088;194.66077
;9.8900;0.58875;4.62736;0.00089;194.76823
;9.8960;0.58917;4.62999;0.00089;194.87880
;9.9020;0.58952;4.63270;0.00089;194.99307
;9.9080;0.58988;4.63552;0.00089;195.11168
;9.9140;0.59030;4.63839;0.00089;195.23251
;9.9200;0.59060;4.64140;0.00089;195.35931
;9.9260;0.59102;4.64435;0.00089;195.48334
;9.9320;0.59132;4.64710;0.00089;195.59915
;9.9380;0.59168;4.64973;0.00089;195.70966
;9.9460;0.59216;4.65300;0.00089;195.84749
;9.9540;0.59263;4.65616;0.00089;195.98045
;9.9620;0.59311;4.65912;0.00089;196.10484
;9.9700;0.59353;4.66233;0.00089;196.24022
;9.9780;0.59401;4.66552;0.00089;196.37433
;9.9840;0.59437;4.66805;0.00089;196.48073
;9.9900;0.59473;4.67058;0.00089;196.58734
;9.9980;0.59520;4.67372;0.00089;196.71967
;10.0060;0.59568;4.67671;0.00090;196.84544
;10.0140;0.59610;4.67965;0.00090;196.96919
;10.0220;0.59658;4.68247;0.00090;197.08775
;10.0300;0.59706;4.68545;0.00090;197.21332
;10.0380;0.59760;4.68850;0.00090;197.34174
;10.0460;0.59807;4.69157;0.00090;197.47079
;10.0540;0.59855;4.69476;0.00090;197.60506
;10.0620;0.59903;4.69805;0.00090;197.74365
;10.0680;0.59945;4.70057;0.00090;197.84961
;10.0740;0.59981;4.70315;0.00090;197.95828
;10.0800;0.60017;4.70589;0.00091;198.07341
;10.0860;0.60059;4.70872;0.00091;198.19249
;10.0920;0.60094;4.71160;0.00091;198.31393
;10.0980;0.60130;4.71433;0.00091;198.42863
;10.1040;0.60160;4.71704;0.00091;198.54279
;10.1100;0.60196;4.71954;0.00091;198.64819
;10.1180;0.60244;4.72264;0.00091;198.77859
;10.1260;0.60292;4.72586;0.00091;198.91397
;10.1340;0.60340;4.72913;0.00091;199.05190
;10.1420;0.60387;4.73222;0.00091;199.18187
;10.1500;0.60435;4.73521;0.00091;199.30769
;10.1580;0.60477;4.73821;0.00091;199.43381
;10.1660;0.60525;4.74106;0.00091;199.55392
;10.1740;0.60573;4.74403;0.00091;199.67899
;10.1820;0.60621;4.74698;0.00091;199.80295
;10.1900;0.60668;4.74999;0.00092;199.92982
;10.1980;0.60716;4.75324;0.00092;200.06674
;10.2060;0.60770;4.75650;0.00092;200.20361
;10.2120;0.60806;4.75904;0.00092;200.31084
;10.2180;0.60842;4.76180;0.00092;200.42703
;10.2260;0.60890;4.76510;0.00092;200.56561
;10.2340;0.60943;4.76823;0.00092;200.69739
;10.2420;0.60991;4.77154;0.00092;200.83701
;10.2500;0.61045;4.77486;0.00092;200.97658
;10.2560;0.61081;4.77739;0.00092;201.08305
;10.2620;0.61117;4.78005;0.00092;201.19495
;10.2680;0.61153;4.78282;0.00092;201.31140
;10.2740;0.61189;4.78574;0.00093;201.43442
;10.2800;0.61224;4.78866;0.00093;201.55739
;10.2860;0.61254;4.79138;0.00093;201.67189
;10.2920;0.61290;4.79391;0.00093;201.77843
;10.3000;0.61338;4.79716;0.00093;201.91513
;10.3080;0.61386;4.80003;0.00093;202.03587
;10.3160;0.61434;4.80281;0.00093;202.15315
;10.3240;0.61476;4.80573;0.00093;202.27579
;10.3320;0.61523;4.80849;0.00093;202.39209
;10.3400;0.61571;4.81128;0.00093;202.50960
;10.3480;0.61619;4.81435;0.00093;202.63853
;10.3560;0.61667;4.81729;0.00093;202.76250
;10.3640;0.61709;4.82022;0.00093;202.88565
;10.3720;0.61763;4.82327;0.00093;203.01421
;10.3800;0.61810;4.82649;0.00094;203.14958
;10.3860;0.61846;4.82921;0.00094;203.26405
;10.3920;0.61882;4.83209;0.00094;203.38539
;10.3980;0.61918;4.83494;0.00094;203.50552
;10.4040;0.61954;4.83759;0.00094;203.61687
;10.4100;0.61996;4.84022;0.00094;203.72774
;10.4160;0.62032;4.84287;0.00094;203.83926
;10.4220;0.62073;4.84544;0.00094;203.94714
;10.4280;0.62109;4.84802;0.00094;204.05586
;10.4340;0.62145;4.85072;0.00094;204.16960
;10.4400;0.62187;4.85346;0.00094;204.28476
;10.4460;0.62217;4.85622;0.00094;204.40121
;10.4520;0.62259;4.85889;0.00094;204.51334
;10.4580;0.62289;4.86157;0.00094;204.62610
;10.4640;0.62331;4.86410;0.00094;204.73293
;10.4700;0.62360;4.86666;0.00094;204.84062
;10.4780;0.62408;4.86987;0.00094;204.97554
;10.4860;0.62456;4.87287;0.00095;205.10173
;10.4940;0.62504;4.87587;0.00095;205.22818
;10.5020;0.62546;4.87881;0.00095;205.35178
;10.5100;0.62594;4.88162;0.00095;205.47023
;10.5180;0.62641;4.88418;0.00095;205.57809
;10.5260;0.62689;4.88685;0.00095;205.69022
;10.5340;0.62737;4.88978;0.00095;205.81346
;10.5420;0.62785;4.89275;0.00095;205.93874
;10.5480;0.62821;4.89530;0.00095;206.04608
;10.5540;0.62863;4.89803;0.00095;206.16096
;10.5600;0.62899;4.90086;0.00095;206.28015
;10.5660;0.62934;4.90374;0.00095;206.40108
;10.5720;0.62970;4.90651;0.00095;206.51773
;10.5780;0.63006;4.90922;0.00095;206.63184
;10.5840;0.63048;4.91180;0.00095;206.74030
;10.5900;0.63084;4.91435;0.00096;206.84773
;10.5960;0.63120;4.91701;0.00096;206.95978
;10.6020;0.63162;4.91971;0.00096;207.07355
;10.6080;0.63197;4.92231;0.00096;207.18280
;10.6160;0.63245;4.92557;0.00096;207.32007
;10.6220;0.63281;4.92810;0.00096;207.42636
;10.6280;0.63317;4.93061;0.00096;207.53200
;10.6360;0.63365;4.93366;0.00096;207.66061
;10.6440;0.63407;4.93650;0.00096;207.77988
;10.6520;0.63455;4.93921;0.00096;207.89424
;10.6600;0.63502;4.94215;0.00096;208.01801
;10.6680;0.63550;4.94537;0.00097;208.15347
;10.6760;0.63598;4.94862;0.00097;208.29027
;10.6840;0.63646;4.95163;0.00097;208.41684
;10.6920;0.63688;4.95463;0.00097;208.54298
;10.7000;0.63736;4.95762;0.00097;208.66920
;10.7080;0.63777;4.96048;0.00097;208.78951
;10.7160;0.63825;4.96328;0.00097;208.90730
;10.7240;0.63879;4.96587;0.00097;209.01634
;10.7320;0.63927;4.96890;0.00097;209.14360
;10.7400;0.63975;4.97213;0.00097;209.27988
;10.7460;0.64017;4.97483;0.00097;209.39323
;10.7520;0.64052;4.97763;0.00097;209.51146
;10.7580;0.64088;4.98054;0.00097;209.63385
;10.7640;0.64124;4.98351;0.00097;209.75867
;10.7700;0.64166;4.98658;0.00097;209.88794
;10.7760;0.64202;4.98967;0.00097;210.01804
;10.7820;0.64238;4.99266;0.00098;210.14401
;10.7880;0.64274;4.99535;0.00098;210.25693
;10.7940;0.64310;4.99793;0.00098;210.36554
;10.8000;0.64345;5.00065;0.00098;210.48024
;10.8060;0.64381;5.00333;0.00098;210.59315
;10.8120;0.64417;5.00593;0.00098;210.70251
;10.8180;0.64453;5.00853;0.00098;210.81189
;10.8260;0.64501;5.01165;0.00098;210.94321
;10.8340;0.64549;5.01457;0.00098;211.06593
;10.8420;0.64591;5.01741;0.00098;211.18549
;10.8500;0.64638;5.01997;0.00098;211.29337
;10.8580;0.64686;5.02259;0.00098;211.40375
;10.8660;0.64728;5.02547;0.00098;211.52477
;10.8740;0.64776;5.02828;0.00098;211.64308
;10.8820;0.64824;5.03113;0.00098;211.76299
;10.8900;0.64872;5.03386;0.00098;211.87799
;10.8980;0.64925;5.03678;0.00098;212.00073
;10.9060;0.64973;5.04002;0.00099;212.13742
;10.9120;0.65009;5.04280;0.00099;212.25426
;10.9180;0.65045;5.04570;0.00099;212.37621
;10.9240;0.65081;5.04853;0.00099;212.49561
;10.9300;0.65117;5.05130;0.00099;212.61192
;10.9360;0.65159;5.05397;0.00099;212.72449
;10.9420;0.65194;5.05650;0.00099;212.83115
;10.9480;0.65230;5.05910;0.00099;212.94022
;10.9540;0.65266;5.06166;0.00100;213.04826
;10.9600;0.65302;5.06425;0.00099;213.15709
;10.9660;0.65344;5.06681;0.00099;213.26511
;10.9740;0.65392;5.07012;0.00100;213.40421
;10.9820;0.65434;5.07344;0.00100;213.54379
;10.9880;0.65469;5.07600;0.00100;213.65181
;10.9940;0.65505;5.07851;0.00100;213.75717
;11.0020;0.65553;5.08168;0.00100;213.89073
;11.0100;0.65601;5.08458;0.00100;214.01297
;11.0180;0.65643;5.08748;0.00100;214.13475
;11.0260;0.65691;5.09014;0.00100;214.24687
;11.0340;0.65739;5.09288;0.00100;214.36224
;11.0420;0.65786;5.09590;0.00100;214.48911
;11.0500;0.65828;5.09881;0.00100;214.61197
;11.0580;0.65876;5.10166;0.00100;214.73167
;11.0660;0.65924;5.10474;0.00100;214.86127
;11.0740;0.65972;5.10781;0.00100;214.99075
;11.0820;0.66020;5.11093;0.00101;215.12196
;11.0900;0.66067;5.11398;0.00101;215.25037
;11.0980;0.66121;5.11734;0.00101;215.39171
;11.1040;0.66157;5.12016;0.00101;215.51036
;11.1100;0.66193;5.12300;0.00101;215.62991
;11.1160;0.66229;5.12583;0.00101;215.74911
;11.1220;0.66265;5.12835;0.00101;215.85526
;11.1280;0.66301;5.13087;0.00101;215.96107
;11.1340;0.66336;5.13341;0.00101;216.06818
;11.1420;0.66384;5.13670;0.00101;216.20673
;11.1500;0.66432;5.14002;0.00101;216.34644
;11.1560;0.66468;5.14258;0.00101;216.45419
;11.1620;0.66504;5.14515;0.00101;216.56247
;11.1680;0.66540;5.14776;0.00101;216.67212
;11.1740;0.66576;5.15030;0.00101;216.77916
;11.1800;0.66611;5.15289;0.00102;216.88820
;11.1880;0.66659;5.15606;0.00102;217.02136
;11.1960;0.66701;5.15893;0.00102;217.14212
;11.2040;0.66749;5.16159;0.00102;217.25426
;11.2120;0.66797;5.16416;0.00102;217.36255
;11.2200;0.66845;5.16682;0.00102;217.47458
;11.2280;0.66892;5.16952;0.00102;217.58812
;11.2360;0.66940;5.17216;0.00102;217.69923
;11.2440;0.66988;5.17491;0.00102;217.81476
;11.2520;0.67036;5.17796;0.00102;217.94305
;11.2600;0.67084;5.18107;0.00102;218.07414
;11.2680;0.67138;5.18435;0.00103;218.21213
;11.2740;0.67173;5.18688;0.00103;218.31885
;11.2820;0.67221;5.19017;0.00103;218.45728
;11.2880;0.67263;5.19289;0.00103;218.57158
;11.2940;0.67299;5.19561;0.00103;218.68631
;11.3000;0.67335;5.19831;0.00103;218.79971
;11.3060;0.67377;5.20104;0.00103;218.91484
;11.3120;0.67413;5.20372;0.00103;219.02771
;11.3180;0.67449;5.20636;0.00103;219.13867
;11.3240;0.67484;5.20906;0.00103;219.25249
;11.3300;0.67520;5.21165;0.00103;219.36131
;11.3380;0.67568;5.21491;0.00103;219.49841
;11.3460;0.67610;5.21812;0.00103;219.63368
;11.3540;0.67658;5.22115;0.00103;219.76115
;11.3620;0.67706;5.22378;0.00103;219.87195
;11.3700;0.67753;5.22641;0.00103;219.98268
;11.3780;0.67801;5.22924;0.00104;220.10152
;11.3860;0.67849;5.23243;0.00104;220.23611
;11.3940;0.67897;5.23557;0.00104;220.36795
;11.4020;0.67939;5.23845;0.00104;220.48932
;11.4100;0.67987;5.24121;0.00104;220.60547
;11.4180;0.68040;5.24391;0.00104;220.71921
;11.4260;0.68088;5.24673;0.00104;220.83800
;11.4340;0.68136;5.24962;0.00104;220.95934
;11.4420;0.68184;5.25244;0.00104;221.07829
;11.4500;0.68232;5.25542;0.00104;221.20340
;11.4580;0.68286;5.25861;0.00104;221.33789
;11.4660;0.68333;5.26186;0.00104;221.47475
;11.4740;0.68381;5.26512;0.00104;221.61169
;11.4820;0.68435;5.26844;0.00105;221.75154
;11.4880;0.68471;5.27099;0.00105;221.85909
;11.4940;0.68501;5.27356;0.00105;221.96716
;11.5020;0.68549;5.27682;0.00105;222.10429
;11.5100;0.68596;5.27976;0.00105;222.22826
;11.5180;0.68644;5.28236;0.00105;222.33749
;11.5260;0.68686;5.28501;0.00105;222.44904
;11.5340;0.68734;5.28777;0.00105;222.56517
;11.5420;0.68782;5.29048;0.00105;222.67946
;11.5500;0.68830;5.29340;0.00105;222.80223
;11.5580;0.68878;5.29629;0.00105;222.92406
;11.5660;0.68925;5.29930;0.00105;223.05070
;11.5740;0.68973;5.30253;0.00106;223.18661
;11.5820;0.69021;5.30559;0.00106;223.31549
;11.5900;0.69069;5.30849;0.00106;223.43742
;11.5980;0.69117;5.31159;0.00106;223.56766
;11.6040;0.69153;5.31410;0.00106;223.67331
;11.6100;0.69188;5.31663;0.00106;223.78015
;11.6180;0.69242;5.31980;0.00106;223.91348
;11.6260;0.69290;5.32306;0.00106;224.05057
;11.6320;0.69332;5.32570;0.00106;224.16185
;11.6380;0.69368;5.32845;0.00106;224.27760
;11.6440;0.69404;5.33116;0.00106;224.39146
;11.6500;0.69440;5.33389;0.00106;224.50633
;11.6560;0.69481;5.33663;0.00106;224.62164
;11.6620;0.69511;5.33933;0.00107;224.73560
;11.6680;0.69553;5.34210;0.00107;224.85199
;11.6740;0.69583;5.34486;0.00107;224.96815
;11.6800;0.69619;5.34755;0.00107;225.08127
;11.6880;0.69667;5.35079;0.00107;225.21794
;11.6960;0.69715;5.35366;0.00107;225.33871
;11.7040;0.69762;5.35636;0.00107;225.45207
;11.7120;0.69810;5.35898;0.00107;225.56268
;11.7200;0.69858;5.36171;0.00108;225.67744
;11.7280;0.69906;5.36456;0.00108;225.79752
;11.7360;0.69948;5.36755;0.00108;225.92325
;11.7440;0.70002;5.37068;0.00108;226.05478
;11.7520;0.70043;5.37379;0.00108;226.18590
;11.7600;0.70091;5.37695;0.00108;226.31889
;11.7680;0.70145;5.38016;0.00108;226.45392
;11.7760;0.70193;5.38332;0.00108;226.58708
;11.7840;0.70241;5.38641;0.00108;226.71718
;11.7920;0.70289;5.38969;0.00108;226.85518
;11.8000;0.70336;5.39299;0.00108;226.99406
;11.8080;0.70384;5.39630;0.00108;227.13315
;11.8140;0.70426;5.39896;0.00108;227.24532
;11.8200;0.70462;5.40170;0.00109;227.36081
;11.8260;0.70498;5.40455;0.00109;227.48048
;11.8320;0.70534;5.40728;0.00109;227.59567
;11.8400;0.70581;5.41039;0.00109;227.72650
;11.8480;0.70629;5.41320;0.00109;227.84451
;11.8560;0.70677;5.41589;0.00109;227.95789
;11.8640;0.70719;5.41886;0.00109;228.08290
;11.8720;0.70767;5.42193;0.00109;228.21201
;11.8800;0.70809;5.42500;0.00109;228.34114
;11.8880;0.70857;5.42778;0.00109;228.45840
;11.8960;0.70904;5.43044;0.00109;228.57025
;11.9040;0.70952;5.43305;0.00109;228.68011
;11.9120;0.71000;5.43593;0.00109;228.80132
;11.9200;0.71042;5.43901;0.00109;228.93102
;11.9280;0.71090;5.44206;0.00109;229.05940
;11.9360;0.71138;5.44495;0.00109;229.18091
;11.9440;0.71191;5.44793;0.00109;229.30649
;11.9520;0.71239;5.45105;0.00110;229.43785
;11.9600;0.71287;5.45418;0.00110;229.56938
;11.9680;0.71335;5.45734;0.00110;229.70258
;11.9740;0.71371;5.45995;0.00110;229.81239
;11.9800;0.71407;5.46269;0.00110;229.92767
;11.9860;0.71448;5.46537;0.00110;230.04045
;11.9920;0.71484;5.46798;0.00110;230.15021
;11.9980;0.71520;5.47073;0.00110;230.26616
;12.0040;0.71562;5.47335;0.00110;230.37628
;12.0100;0.71598;5.47606;0.00110;230.49045
;12.0160;0.71634;5.47865;0.00110;230.59952
;12.0220;0.71664;5.48121;0.00110;230.70731
;12.0280;0.71700;5.48375;0.00111;230.81400
;12.0360;0.71747;5.48688;0.00111;230.94583
;12.0440;0.71795;5.49000;0.00111;231.07712
;12.0520;0.71843;5.49313;0.00111;231.20892
;12.0600;0.71891;5.49630;0.00111;231.34247
;12.0680;0.71939;5.49952;0.00111;231.47803
;12.0760;0.71987;5.50265;0.00111;231.60953
;12.0840;0.72028;5.50539;0.00111;231.72488
;12.0940;0.72094;5.50848;0.00111;231.85495
;12.1020;0.72142;5.51106;0.00111;231.96364
;12.1100;0.72190;5.51411;0.00112;232.09216
;12.1180;0.72238;5.51711;0.00112;232.21828
;12.1260;0.72285;5.52038;0.00112;232.35583
;12.1320;0.72321;5.52289;0.00112;232.46149
;12.1400;0.72375;5.52614;0.00112;232.59827
;12.1460;0.72411;5.52867;0.00112;232.70479
;12.1520;0.72447;5.53122;0.00111;232.81204
;12.1580;0.72483;5.53388;0.00112;232.92424
;12.1640;0.72525;5.53661;0.00112;233.03911
;12.1700;0.72561;5.53950;0.00112;233.16061
;12.1760;0.72596;5.54241;0.00112;233.28337
;12.1820;0.72632;5.54534;0.00112;233.40660
;12.1880;0.72668;5.54814;0.00112;233.52446
;12.1940;0.72710;5.55081;0.00112;233.63661
;12.2000;0.72740;5.55335;0.00112;233.74353
;12.2080;0.72788;5.55643;0.00112;233.87337
;12.2160;0.72836;5.55935;0.00112;233.99603
;12.2240;0.72883;5.56215;0.00113;234.11388
;12.2320;0.72925;5.56483;0.00113;234.22665
;12.2400;0.72973;5.56743;0.00113;234.33643
;12.2480;0.73021;5.56996;0.00113;234.44272
;12.2560;0.73069;5.57247;0.00113;234.54861
;12.2640;0.73117;5.57533;0.00113;234.66866
;12.2720;0.73164;5.57847;0.00113;234.80080
;12.2800;0.73212;5.58159;0.00113;234.93243
;12.2880;0.73260;5.58477;0.00113;235.06601
;12.2960;0.73308;5.58795;0.00113;235.19986
;12.3040;0.73356;5.59117;0.00113;235.33551
;12.3120;0.73404;5.59434;0.00114;235.46883
;12.3200;0.73451;5.59757;0.00114;235.60478
;12.3280;0.73505;5.60073;0.00114;235.73808
;12.3360;0.73553;5.60393;0.00114;235.87245
;12.3420;0.73589;5.60651;0.00114;235.98128
;12.3480;0.73625;5.60918;0.00114;236.09364
;12.3540;0.73661;5.61189;0.00114;236.20749
;12.3600;0.73697;5.61454;0.00114;236.31898
;12.3660;0.73738;5.61715;0.00114;236.42894
;12.3740;0.73786;5.62051;0.00114;236.57051
;12.3800;0.73816;5.62311;0.00115;236.67987
;12.3880;0.73864;5.62637;0.00115;236.81717
;12.3960;0.73912;5.62955;0.00115;236.95100
;12.4040;0.73960;5.63254;0.00115;237.07661
;12.4120;0.74007;5.63527;0.00115;237.19156
;12.4200;0.74049;5.63812;0.00115;237.31158
;12.4280;0.74097;5.64100;0.00115;237.43279
;12.4360;0.74145;5.64388;0.00115;237.55412
;12.4440;0.74193;5.64675;0.00115;237.67490
;12.4520;0.74247;5.64961;0.00115;237.79536
;12.4600;0.74294;5.65264;0.00115;237.92271
;12.4680;0.74342;5.65584;0.00115;238.05743
;12.4760;0.74390;5.65901;0.00116;238.19084
;12.4840;0.74438;5.66218;0.00116;238.32452
;12.4920;0.74486;5.66552;0.00116;238.46487
;12.5000;0.74534;5.66873;0.00116;238.60017
;12.5080;0.74587;5.67187;0.00116;238.73230
;12.5160;0.74635;5.67523;0.00116;238.87372
;12.5220;0.74677;5.67786;0.00116;238.98450
;12.5300;0.74725;5.68117;0.00116;239.12347
;12.5380;0.74773;5.68433;0.00116;239.25655
;12.5440;0.74803;5.68684;0.00116;239.36247
;12.5520;0.74850;5.69007;0.00116;239.49843
;12.5600;0.74898;5.69295;0.00116;239.61967
;12.5680;0.74946;5.69590;0.00116;239.74347
;12.5760;0.74994;5.69879;0.00116;239.86522
;12.5840;0.75036;5.70156;0.00117;239.98187
;12.5920;0.75084;5.70414;0.00117;240.09059
;12.6000;0.75131;5.70678;0.00117;240.20152
;12.6080;0.75179;5.70954;0.00117;240.31787
;12.6160;0.75227;5.71222;0.00117;240.43059
;12.6240;0.75275;5.71489;0.00117;240.54308
;12.6320;0.75323;5.71774;0.00117;240.66284
;12.6400;0.75371;5.72064;0.00117;240.78484
;12.6480;0.75418;5.72357;0.00117;240.90829
;12.6560;0.75466;5.72648;0.00118;241.03058
;12.6640;0.75514;5.72967;0.00118;241.16502
;12.6700;0.75550;5.73217;0.00118;241.27034
;12.6780;0.75598;5.73541;0.00118;241.40654
;12.6860;0.75652;5.73861;0.00118;241.54153
;12.6940;0.75699;5.74185;0.00118;241.67764
