Strain	Stress
1,10E-04	33,59757
1,10E-04	33,70662
1,10E-04	33,81275
1,20E-04	33,96618
1,20E-04	34,11646
1,20E-04	34,27092
1,20E-04	34,42912
1,20E-04	34,5397
1,20E-04	34,65207
1,20E-04	34,76897
1,20E-04	34,88246
1,20E-04	34,99553
1,20E-04	35,10987
1,20E-04	35,22198
1,20E-04	35,33055
1,20E-04	35,43987
1,20E-04	35,55096
1,20E-04	35,66179
1,20E-04	35,77251
1,20E-04	35,88649
1,20E-04	35,99978
1,20E-04	36,10914
1,20E-04	36,21667
1,20E-04	36,32485
1,20E-04	36,43639
1,20E-04	36,55057
1,20E-04	36,66368
1,20E-04	36,77532
1,20E-04	36,88807
1,20E-04	37,0035
1,20E-04	37,11962
1,20E-04	37,23717
1,20E-04	37,35418
1,20E-04	37,47145
1,20E-04	37,58669
1,30E-04	37,70579
1,30E-04	37,8304
1,30E-04	37,9559
1,30E-04	38,08112
1,30E-04	38,20135
1,30E-04	38,31677
1,30E-04	38,42767
1,30E-04	38,58369
1,30E-04	38,74089
1,30E-04	38,8937
1,30E-04	39,04059
1,30E-04	39,18541
1,30E-04	39,32904
1,30E-04	39,47205
1,30E-04	39,61275
1,30E-04	39,76316
1,30E-04	39,92108
1,30E-04	40,02966
1,30E-04	40,13885
1,30E-04	40,24899
1,30E-04	40,36131
1,30E-04	40,47446
1,30E-04	40,58701
1,30E-04	40,69548
1,30E-04	40,80186
1,30E-04	40,90901
1,30E-04	41,01664
1,30E-04	41,12637
1,30E-04	41,23687
1,30E-04	41,34556
1,30E-04	41,45597
1,30E-04	41,56998
1,30E-04	41,68732
1,40E-04	41,8044
1,40E-04	41,9202
1,40E-04	42,03527
1,40E-04	42,15276
1,40E-04	42,27228
1,40E-04	42,3894
1,40E-04	42,50291
1,40E-04	42,60953
1,40E-04	42,76152
1,40E-04	42,90342
1,40E-04	43,0356
1,40E-04	43,15812
1,40E-04	43,27435
1,40E-04	43,38037
1,40E-04	43,52089
1,40E-04	43,63691
1,40E-04	43,76194
1,40E-04	43,89394
1,40E-04	44,03165
1,40E-04	44,17244
1,40E-04	44,32031
1,40E-04	44,46936
1,40E-04	44,61917
1,50E-04	44,76854
1,50E-04	44,92597
1,50E-04	45,08145
1,50E-04	45,23707
1,50E-04	45,34708
1,50E-04	45,46096
1,50E-04	45,57806
1,50E-04	45,69541
1,50E-04	45,81331
1,50E-04	45,93396
1,50E-04	46,05311
1,50E-04	46,17333
1,50E-04	46,29645
1,50E-04	46,42088
1,50E-04	46,54401
1,50E-04	46,66608
1,50E-04	46,78819
1,50E-04	46,90955
1,50E-04	47,02658
1,50E-04	47,13834
1,50E-04	47,24955
1,50E-04	47,36525
1,50E-04	47,48224
1,60E-04	47,59901
1,60E-04	47,71229
1,60E-04	47,82428
1,60E-04	47,93489
1,60E-04	48,04646
1,60E-04	48,15653
1,60E-04	48,26677
1,60E-04	48,37669
1,60E-04	48,48656
1,60E-04	48,5948
1,60E-04	48,70093
1,60E-04	48,80624
1,60E-04	48,9119
1,60E-04	49,01959
1,60E-04	49,12743
1,60E-04	49,2356
1,60E-04	49,34863
1,60E-04	49,46529
1,60E-04	49,58062
1,60E-04	49,6922
1,70E-04	49,8063
1,70E-04	49,92206
1,70E-04	50,03269
1,70E-04	50,1422
1,70E-04	50,25303
1,70E-04	50,3656
1,70E-04	50,48096
1,70E-04	50,59884
1,70E-04	50,71904
1,70E-04	50,84154
1,70E-04	50,96537
1,70E-04	51,08796
1,70E-04	51,20845
1,70E-04	51,32944
1,70E-04	51,45279
1,70E-04	51,5785
1,70E-04	51,70801
1,70E-04	51,8346
1,70E-04	51,95907
1,70E-04	52,07927
1,70E-04	52,19718
1,70E-04	52,31292
1,70E-04	52,42765
1,70E-04	52,54205
1,70E-04	52,65754
1,70E-04	52,77134
1,80E-04	52,88484
1,80E-04	52,99554
1,80E-04	53,10398
1,80E-04	53,21059
1,80E-04	53,31807
1,80E-04	53,42768
1,80E-04	53,53885
1,80E-04	53,64811
1,80E-04	53,75644
1,80E-04	53,86665
1,80E-04	53,97727
1,90E-04	54,08785
1,90E-04	54,19772
1,90E-04	54,30347
1,90E-04	54,45992
1,90E-04	54,6139
1,90E-04	54,72016
1,90E-04	54,8315
1,80E-04	54,94737
1,80E-04	55,06292
1,80E-04	55,18051
1,90E-04	55,29807
1,90E-04	55,41293
1,90E-04	55,52837
1,90E-04	55,64307
1,90E-04	55,75819
1,90E-04	55,87643
1,90E-04	55,9981
1,90E-04	56,11982
1,90E-04	56,2428
1,90E-04	56,36616
1,90E-04	56,48539
1,90E-04	56,6028
1,90E-04	56,72192
1,90E-04	56,84723
1,90E-04	56,97349
1,90E-04	57,09712
1,90E-04	57,22245
1,90E-04	57,34733
1,90E-04	57,47379
1,90E-04	57,60144
1,90E-04	57,72704
1,90E-04	57,84967
2,00E-04	57,96954
2,00E-04	58,09163
2,00E-04	58,21312
2,00E-04	58,33157
2,00E-04	58,44642
2,00E-04	58,55719
2,00E-04	58,66475
2,00E-04	58,82076
2,00E-04	58,97722
2,00E-04	59,08435
2,00E-04	59,19467
2,00E-04	59,30814
2,00E-04	59,42331
2,00E-04	59,53747
2,10E-04	59,65158
2,10E-04	59,76465
2,10E-04	59,881
2,10E-04	59,99519
2,10E-04	60,10589
2,10E-04	60,21549
2,10E-04	60,32732
2,00E-04	60,43985
2,00E-04	60,55343
2,00E-04	60,66945
2,10E-04	60,78744
2,10E-04	60,90447
2,10E-04	61,01953
2,10E-04	61,13636
2,10E-04	61,24928
2,10E-04	61,36034
2,10E-04	61,46887
2,10E-04	61,62585
2,10E-04	61,73294
2,10E-04	61,84124
2,10E-04	61,94741
2,10E-04	62,05433
2,10E-04	62,16562
2,10E-04	62,27676
2,10E-04	62,38338
2,10E-04	62,54021
2,10E-04	62,69388
2,10E-04	62,84216
2,10E-04	62,9843
2,20E-04	63,12709
2,20E-04	63,27444
2,20E-04	63,41658
2,20E-04	63,55452
2,20E-04	63,69697
2,20E-04	63,8372
2,20E-04	63,97736
2,20E-04	64,11968
2,20E-04	64,26337
2,20E-04	64,40965
2,20E-04	64,5594
2,20E-04	64,70422
2,20E-04	64,84971
2,20E-04	64,99765
2,20E-04	65,14966
2,20E-04	65,29912
2,20E-04	65,44872
2,20E-04	65,5997
2,30E-04	65,75714
2,30E-04	65,86588
2,30E-04	65,97549
2,30E-04	66,08113
2,30E-04	66,23767
